Label_0,Label,Frequency,Effective_1
TotalPointsWonOrLost_Freq,Lost,21,
TotalPointsWonOrLost_Freq,Won,33,
TotalPointsWonOrLost_Freq,Lost_thru_Mistake,21,
TotalPointsWonOrLost_Freq,Won_thru_Winner,33,
Effective_Score,Effective_Score_Rally,30,32.0
Effective_Score,Effective_Score_Return,35,161.0
Effective_Score,Effective_Score_Serve,19,60.0
Effective_Score_First,Effective_Score_First_Rally,26,41.0
Effective_Score_First,Effective_Score_First_Return,29,110.0
Effective_Score_First,Effective_Score_First_Serve,14,90.0
Effective_Score_Second,Effective_Score_Second_Rally,4,-9.0
Effective_Score_Second,Effective_Score_Second_Return,6,51.0
Effective_Score_Second,Effective_Score_Second_Serve,5,-30.0
Effective_Score_Deuce,Effective_Score_Deuce_Rally,20,28.0
Effective_Score_Deuce,Effective_Score_Deuce_Return,18,51.0
Effective_Score_Deuce,Effective_Score_Deuce_Serve,10,35.0
Effective_Score_Adv,Effective_Score_Adv_Rally,10,4.0
Effective_Score_Adv,Effective_Score_Adv_Return,17,110.0
Effective_Score_Adv,Effective_Score_Adv_Serve,9,25.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Rally,16,37.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Return,14,30.0
Effective_Score_Deuce_First,Effective_Score_Deuce_First_Serve,8,25.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Rally,4,-9.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Return,4,21.0
Effective_Score_Deuce_Second,Effective_Score_Deuce_Second_Serve,2,10.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Rally,10,4.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Return,15,80.0
Effective_Score_Adv_First,Effective_Score_Adv_First_Serve,6,65.0
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Return,2,30.0
Effective_Score_Adv_Second,Effective_Score_Adv_Second_Serve,3,-40.0
Shots_By_OutComeGen,Rally_Lost,8,-80.0
Shots_By_OutComeGen,Rally_Rally,12,12.0
Shots_By_OutComeGen,Rally_Won,10,100.0
Shots_By_OutComeGen,Return_Lost,7,-70.0
Shots_By_OutComeGen,Return_Rally,13,61.0
Shots_By_OutComeGen,Return_Won,15,170.0
Shots_By_OutComeGen,Serve_Lost,6,-70.0
